attribute,height_inches,associated_attribute,max_delta
Agility,69,Speed,10
Agility,69,ReboundDefense,50
Agility,69,Steal,45
Agility,70,Speed,10
Agility,70,ReboundDefense,50
Agility,70,Steal,45
Agility,71,Speed,10
Agility,71,ReboundDefense,50
Agility,71,Steal,45
Agility,72,Speed,10
Agility,72,ReboundDefense,50
Agility,72,Steal,45
Agility,73,Speed,10
Agility,73,ReboundDefense,45
Agility,73,Steal,45
Agility,74,Speed,10
Agility,74,ReboundDefense,45
Agility,74,Steal,45
Agility,75,Speed,10
Agility,75,ReboundDefense,45
Agility,75,Steal,45
Agility,76,Speed,10
Agility,76,ReboundDefense,45
Agility,76,Steal,45
Agility,77,Speed,10
Agility,77,ReboundDefense,40
Agility,77,Steal,45
Agility,78,Speed,10
Agility,78,ReboundDefense,40
Agility,78,Steal,45
Agility,79,Speed,10
Agility,79,ReboundDefense,40
Agility,79,Steal,45
Agility,80,Speed,10
Agility,80,ReboundDefense,30
Agility,80,Steal,45
Agility,81,Speed,10
Agility,81,ReboundDefense,30
Agility,81,Steal,45
Agility,82,Speed,10
Agility,82,ReboundDefense,15
Agility,82,Steal,45
Agility,83,Speed,10
Agility,83,ReboundDefense,10
Agility,83,Steal,45
Agility,84,Speed,10
Agility,84,ReboundDefense,5
Agility,84,Steal,40
Agility,85,Speed,10
Agility,85,ReboundDefense,5
Agility,85,Steal,40
Agility,86,Speed,10
Agility,86,ReboundDefense,5
Agility,86,Steal,40
Agility,87,Speed,10
Agility,87,ReboundDefense,5
Agility,87,Steal,40
Agility,88,Speed,10
Agility,88,ReboundDefense,5
Agility,88,Steal,40
BallControl,69,SpeedWithBall,10
BallControl,69,PassAccuracy,25
BallControl,69,DrivingLayup,15
BallControl,69,PostControl,65
BallControl,70,SpeedWithBall,10
BallControl,70,PassAccuracy,25
BallControl,70,DrivingLayup,15
BallControl,70,PostControl,65
BallControl,71,SpeedWithBall,10
BallControl,71,PassAccuracy,25
BallControl,71,DrivingLayup,15
BallControl,71,PostControl,65
BallControl,72,SpeedWithBall,10
BallControl,72,PassAccuracy,25
BallControl,72,DrivingLayup,15
BallControl,72,PostControl,60
BallControl,73,SpeedWithBall,10
BallControl,73,PassAccuracy,25
BallControl,73,DrivingLayup,15
BallControl,73,PostControl,60
BallControl,74,SpeedWithBall,10
BallControl,74,PassAccuracy,25
BallControl,74,DrivingLayup,15
BallControl,74,PostControl,60
BallControl,75,SpeedWithBall,10
BallControl,75,PassAccuracy,25
BallControl,75,DrivingLayup,15
BallControl,75,PostControl,55
BallControl,76,SpeedWithBall,15
BallControl,76,PassAccuracy,25
BallControl,76,DrivingLayup,15
BallControl,76,PostControl,50
BallControl,77,SpeedWithBall,20
BallControl,77,PassAccuracy,25
BallControl,77,DrivingLayup,15
BallControl,77,PostControl,50
BallControl,78,SpeedWithBall,20
BallControl,78,PassAccuracy,25
BallControl,78,DrivingLayup,15
BallControl,78,PostControl,45
BallControl,79,SpeedWithBall,20
BallControl,79,PassAccuracy,25
BallControl,79,DrivingLayup,15
BallControl,79,PostControl,40
BallControl,80,SpeedWithBall,20
BallControl,80,PassAccuracy,25
BallControl,80,DrivingLayup,15
BallControl,80,PostControl,35
BallControl,81,SpeedWithBall,20
BallControl,81,PassAccuracy,25
BallControl,81,DrivingLayup,15
BallControl,81,PostControl,30
BallControl,82,SpeedWithBall,20
BallControl,82,PassAccuracy,25
BallControl,82,DrivingLayup,15
BallControl,82,PostControl,25
BallControl,83,SpeedWithBall,20
BallControl,83,PassAccuracy,25
BallControl,83,DrivingLayup,15
